Url,Area_of_Property,Age_of_Property
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-kormanagla-bangalore/8a9fd28286533e430186538d9b0430b8/detail,"2,090 sq ft.",5-10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f97a876943d2501769483bf8114e9/detail,"1,835 sq ft.",5-10 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd7828803d4c80188045201764444/detail,"2,055 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9382781a519001781adfad9c3abe/detail,"1,400 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ffe8387c25ca60187c2b213163178/detail,"1,647 sq ft.",Newly years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9d827bd97646017bd9e86862347f/detail,"2,000 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f168287d19ea50187d1ac9fc907bd/detail,"1,350 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fe6828785051101878575c40e4129/detail,"1,250 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fed82856134b20185615d78661673/detail,"1,485 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ff182862f31b701862f9a197143b0/detail,"1,650 sq ft.",>10 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9f018287e1b70b0187e1c681c50607/detail,"2,110 sq ft.",Under years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fa082815be02501815c4f761f4d08/detail,"1,378 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd3d8842cd96201842d0f4a78258f/detail,"1,435 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb8827e0c1568017e0c9f6fdc2185/detail,"1,425 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f048286aff0940186b06374885ff8/detail,"1,915 sq ft.",Newly years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0782866cfdfa01866da637e17bb2/detail,"3,200 sq ft.",Under years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0582866cfe2301866da21e17784e/detail,"2,627 sq ft.",Under years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fe1828539ef2d01853a13e96a14ca/detail,"2,285 sq ft.",Under years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fef828539f09401853a18be1b1719/detail,"4,280 sq ft.",Under years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9feb828539ef0f01853a1babd51958/detail,"5,325 sq ft.",Under years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f9b827671731f017671b9ad770dc7/detail,"1,315 sq ft.",>10 years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f05828731faa70187321c733b118c/detail,"4,000 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-st-block-bangalore/8a9f0a82883377a401883389a0910a17/detail,"1,200 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in--hsr-layout--bangalore/8a9f0482869ca0c801869d48d29d00af/detail,"1,400 sq ft.",>10 years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fe1828359112e018359611b5d3e4a/detail,"3,535 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-hsr-layout-5th-sector-bangalore/8a9fb98278c49c090178c4c124330f5f/detail,"1,430 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9fde8284fad9e20184fb2b334e4952/detail,"1,100 sq ft.",Newly years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-mantri-classic-bangalore/8a9fbe828885dd100188864ccab4535b/detail,"2,520 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9fea8287e1b6da0187e1c22a3903b4/detail,"1,755 sq ft.",Under years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fab827daccfd5017dacf3125714a6/detail,"1,065 sq ft.",5-10 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb8827f02a1e6017f02c540fc0f81/detail,"2,000 sq ft.",5-10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-s-t-bed-layout-bangalore/8a9fc482810f458101810fbcd99c6201/detail,"1,475 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9fa9837864555c017867418f256a97/detail,900 sq ft.,>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/ff808181645f9730016463e2c7867d5e/detail,"1,200 sq ft.",5-10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb0827d3d71ef017d3d8c1d6f0c63/detail,"1,398 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fbe8281e6eba70181e6f5ca770411/detail,"1,815 sq ft.",Under years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f1382883dc43d01883e16d8b94315/detail,"2,350 sq ft.",5-10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-hsr-layout-5th-sector-bangalore/8a9fa38280075850018007628621021c/detail,"1,460 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0f82881ede2601881f12a5c81ef9/detail,"1,199 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fbc8381417c1c0181420c3d696643/detail,"1,450 sq ft.",>10 years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in--koramangala-bangalore/8a9fa7828452310201845266ae182176/detail,"9,200 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-hsr-layout-5th-sector-bangalore/8a9fff84881ee69701881f1519e419ec/detail,"1,200 sq ft.",>10 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f0b838800009a018800111e6d0774/detail,"3,883 sq ft.",Newly years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f86ac6fc1eda1016fc226966a0ad2/detail,"1,726 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb8cc8809d154018809e7eea80ab3/detail,"1,200 sq ft.",5-10 years
https://www.nobroker.in/property/buy/4%2b-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb2827c06faac017c0700a08402b7/detail,"6,000 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fd282862aafde01862b1ad99a49c1/detail,"1,107 sq ft.",5-10 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-koramangala-bangalore/ff8081816140cd29016141c56391035c/detail,"2,235 sq ft.",1-3 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9f908387b366430187b370c84d0369/detail,"1,300 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9ff9828663fac60186641fffdb1bba/detail,"1,984 sq ft.",Newly years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-hsr-layout-5th-sector-bangalore/8a9fa68283ae09d60183ae6024c22314/detail,"1,560 sq ft.",5-10 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-kormangala-bangalore/8a9fd3fe870dec2501870e4c9d0736d3/detail,"2,167 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fec82872b896a01872bbbadd1164b/detail,"1,000 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-begur-bangalore/8a9f8c9c705d4bf901705e864279711d/detail,"1,300 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/ff8081816c363874016c38d40e316b7a/detail,"1,050 sq ft.",>10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fae827fea5fd5017feadec6cc3ce9/detail,830 sq ft.,>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-ejipura-bangalore/8a9fc1827fa1a26a017fa21f49364f05/detail,"2,250 sq ft.",Newly years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f820c728459c40172927431cd4704/detail,"1,205 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/ff8081816b44c117016b450a34681f41/detail,"2,200 sq ft.",5-10 years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-1st-block-bangalore/8a9ff5828679dde601867a677e173319/detail,"1,175 sq ft.",>10 years
https://www.nobroker.in/property/buy/4-bhk-apartment-for-sale-in-kormangala-5th-%22-a'-block-bangalore/8a9fa88286e896780186e8aec8d7083a/detail,"3,060 sq ft.",5-10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9f128386b5c4470186b616d42c4026/detail,"2,700 sq ft.",Under years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb7827d08a93d017d08e2551c2641/detail,"1,600 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/ff80818169de1a7a0169e1bce1945f51/detail,"1,425 sq ft.",1-3 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-hosur-bangalore/8a9fe183867894550186789fe4700472/detail,750 sq ft.,Under years
https://www.nobroker.in/property/buy/2-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fb9827ef14118017ef1dd70426f64/detail,"1,625 sq ft.",>10 years
https://www.nobroker.in/property/buy/3-bhk-apartment-for-sale-in-koramangala-bangalore/8a9fc48282abcccc0182abd7ad7102df/detail,"2,800 sq ft.",>10 years
